git2022-01-18 20:47:51.064163    Maki (MK) - Minami-ke
2022-01-18 20:47:55.761473    Hitomi (MK) - Minami-ke
2022-01-18 20:48:00.591018    Lewes Meyer - Re:Zero kara Hajimeru Isekai Seikatsu
2022-01-18 20:48:46.225204    Justice (EZ) - Edens Zero
2022-01-18 20:49:03.038417    Mii Konori - Toaru
2022-01-18 20:49:38.352884    Sakio - Totsuon! ~Totsuzen Onnanonko Ni Natta No De, Ore No Oppai Monde Mimasen Ka?
2022-01-18 20:49:41.748480    Ryouko Shirakawa - Anejiru ~Shirakawa San Shimai no Omakase~
2022-01-18 20:50:06.937426    Father Cornello - Fullmetal Alchemist
2022-01-18 20:50:27.420012    Sehui Seong - Refund High School
2022-01-18 20:50:41.552452    Pierre Tempête de Neige - Sugar Sugar Rune
2022-01-18 20:50:43.725463    Stephen Gevanni - Death Note
2022-01-18 20:51:04.214752    Alice Eve - Black Blood Brothers
2022-01-18 20:51:12.171679    Mashisu Makibi - Tenchi Muyou! Ryo-Ohki
2022-01-18 20:52:32.471827    Eldora - selector infected WIXOSS React with any emoji to claim!
2022-01-18 20:52:36.454275    Hyoyeon - Girls' Generation React with any emoji to claim!
2022-01-18 20:52:44.703709    Genma Shiranui - Naruto React with any emoji to claim!
2022-01-18 20:53:09.115945    Suiryu - One Punch Man React with any emoji to claim!
2022-01-18 21:39:22.872547    Airi Kirihara - Nama Hame! Tanetsuke Saiin Harem
2022-01-18 21:39:29.922660    Akane Eimura - Aho Girl
2022-01-18 21:39:36.922563    Yume Hasegawa - Pupa
2022-01-18 21:39:44.116803    Daina - Vocaloid
2022-01-18 21:39:51.051403    Edstrom - Overlord
2022-01-18 21:39:57.828199    Ophanimon - Digimon Frontier
2022-01-18 21:40:04.823166    Ashley Camryn - A Renewable World
2022-01-18 21:40:11.829927    Yoo Sangah - Omniscient Reader's Viewpoint
2022-01-18 21:40:18.622369    Belno (TMnDG) - Tensei Maou no Dai Gosan
2022-01-18 21:40:25.571391    Moja - Fukigen na Mononokean
2022-01-18 21:40:32.355513    Serina Koshino - Mairimashita, Senpai
2022-01-18 21:40:39.451158    Emmy Altava - Professor Layton and the Last Specter
2022-01-18 21:40:46.391034    Elizabeth (LoM) - Lord of the Mysteries
2022-01-18 21:40:53.431680    Ohn So-you - A Beloved Existence
2022-01-18 21:41:00.439235    Sakimori (SS) - Shomin Sample
2022-01-18 21:41:07.350252    Saliy-kelly Reyes - Retired Heroes
2022-01-18 21:41:14.495128    Amagi Ryou - Boku to Joi no Shinsatsu Nisshi
2022-01-18 21:41:21.332362    Someity - Olympics Mascots
2022-01-18 21:41:28.341833    Arete (PA) - Princess Arete
2022-01-18 21:41:35.342391    Emi - Mob Psycho 100
2022-01-18 21:49:58.830047    Jack the Ripper (JoJo) - JoJo's Bizarre Adventure: Phantom Blood
2022-01-18 21:50:02.302338    Life Beauty - Yuri Kuma Arashi
2022-01-18 21:50:04.758280    Satoshi Fukube - Hyouka
2022-01-18 21:50:07.114587    Orugio - Tongari Boushi no Atelier
2022-01-18 21:50:20.118759    Demon Cleric - Maoujou de Oyasumi
2022-01-18 21:50:22.584896    Tsuji - How To World Domination
2022-01-18 21:50:25.750633    Cummings - Canaan
2022-01-18 21:50:28.105004    Soo-Ling Sing - Banana Fish
2022-01-18 21:50:30.971419    Ru Cain - Blue Comet SPT Layzner
2022-01-18 21:50:33.430954    Honebami Toushirou - Touken Ranbu
2022-01-18 21:50:44.081097    Miki's Skarmory - Pokémon the Series: Gold & Silver
2022-01-18 21:50:49.519064    Liruru - Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!
2022-01-18 21:50:51.533414    Emily Thomas - Harukana Receive
2022-01-18 22:04:08.155539    Rio Futaba - Seishun Buta Yarou
2022-01-18 22:49:04.880588    Teru Momijiyama - SHY React with any emoji to claim!
2022-01-18 22:49:41.331513    Sasame (Nuko) - Nukozuke! React with any emoji to claim!
2022-01-18 22:49:44.710776    Ayaka (SU) - Sorairo Utility React with any emoji to claim!
2022-01-18 22:49:48.601474    Euphemia - The Other World Doesn't Stand a Chance Against the Power of Instant Death. React with any emoji to claim!
2022-01-18 22:49:52.287777    Akira Ray - Nijisanji React with any emoji to claim!
2022-01-18 22:50:56.491909    Xu Shanshan - Shiguang Daili Ren React with any emoji to claim!
2022-01-18 22:50:56.493215    Akari Kaga - Kimi no Iru Machi React with any emoji to claim!
